icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
a73dd3,GJS4557 ,United States,1728145455.0,1728145456,-87.8071,42.5126,3596.64,False,172.05,357.09,0.0,,3741.42,,False,0
ac3b0f,SWA647  ,United States,1728145455.0,1728145455,-100.3341,31.0346,11277.6,False,249.58,99.85,0.0,,11925.3,,False,0
ab82b9,N84036  ,United States,1728145451.0,1728145456,-97.5169,33.0062,1767.84,False,49.09,231.81,-0.98,,1874.52,,False,0
a31486,EDV5391 ,United States,1728145455.0,1728145455,-75.7529,38.982,8229.6,False,245.7,36.49,0.0,,8580.12,2141,False,0
a9e7a9,N73719  ,United States,1728145455.0,1728145455,-87.0398,40.1618,1645.92,False,36.61,199.71,-0.65,,1752.6,,False,0
4cc549,ICE454  ,Iceland,1728145455.0,1728145456,-22.3189,63.9021,1676.4,False,129.45,127.74,7.8,,1729.74,,False,0
a12f07,UAL453  ,United States,1728145455.0,1728145455,-77.9666,42.9035,10363.2,False,220.05,258.4,0.0,,10652.76,7444,False,0
a5a443,N4626R  ,United States,1728145454.0,1728145454,-84.9148,39.4241,944.88,False,43.84,355.96,1.63,,1043.94,,False,0
a12f08,UAL1413 ,United States,1728145455.0,1728145456,-86.9612,41.7071,10363.2,False,219.93,261.66,-0.33,,10759.44,1444,False,0
a2ed83,UPS2971 ,United States,1728145455.0,1728145455,-120.2439,45.4075,10066.02,False,267.07,120.57,6.83,,10485.12,,False,0
31df9b,IE083   ,Italy,1728145455.0,1728145455,9.5722,44.9758,762.0,False,79.55,354.81,-3.25,,792.48,6207,False,0
a7e41e,N60734  ,United States,1728145259.0,1728145261,-85.625,37.4455,1272.54,False,80.45,265.97,-0.33,,1371.6,,False,0
a35ae4,AAL2567 ,United States,1728145455.0,1728145455,-72.8608,22.2231,10668.0,False,243.54,121.88,0.0,,11308.08,,False,0
504e76,FOE285  ,Republic of Moldova,1728145445.0,1728145445,6.7582,51.2786,,True,4.12,165.94,,,,1000,False,0
